time; pose_x; pose_y; pose_heading;  gps_x; gps_y; gps_z; acc_0; acc_1; acc_2; right_enc; left_enc; odo_acc_x; odo_acc_y; odo_acc_heading; odo_enc_x; odo_enc_y; odo_enc_heading; kalman_x; kalman_y; kalman_heading
0.016; 2.9; -0; 0; 0; 0; 0; 0.000175566; 0.00779269; 9.78579; 0.0072; -0.0072; 9.97464e-07; 0; 0; 0; 0; 0.00507789;  0; 0; 0;
0.032; 2.9; -0; 0; 0; 0; 0; 0.000157199; 8.24754; 9.57853; 0.1044; 0.09; 0.00105868; 0; 0; 0.00195369; 9.92074e-06; 0.00507789;  0; 0; 0;
0.048; 2.9; -0; 0; 0; 0; 0; 0.000158149; -4.38398; 9.78795; 0.198; 0.1836; 0.00261089; 0; 0; 0.00383503; 1.9474e-05; 0.00507789;  0; 0; 0;
0.064; 2.9; -0; 0; 0; 0; 0; 0.000107586; 4.76009; 9.75453; 0.3096; 0.3132; 0.00421125; 0; 0; 0.00625906; 3.17831e-05; -0.00126947;  0; 0; 0;
0.08; 2.9; -0; 0; 0; 0; 0; 9.95245e-05; 0.135932; 9.81003; 0.4068; 0.4032; 0.0064383; 0; 0; 0.00814042; 2.93948e-05; 0.00126947;  0; 0; 0;
0.096; 2.9; -0; 0; 0; 0; 0; 5.15729e-05; 0.0970974; 9.81246; 0.5112; 0.5148; 0.00869518; 0; 0; 0.0103112; 3.21506e-05; -0.00126947;  0; 0; 0;
0.112; 2.9; -0; 0; 0; 0; 0; 4.29571e-05; 0.0578946; 9.81257; 0.612; 0.5976; 0.0109719; 0; 0; 0.0121564; 2.98081e-05; 0.00507789;  0; 0; 0;
0.128; 2.9; -0; 0; 0; 0; 0; 3.56148e-05; 0.0179972; 9.81252; 0.702; 0.7128; 0.0132583; 0; 0; 0.0142186; 4.028e-05; -0.00380842;  0; 0; 0;
0.144; 2.9; -0; 0; 0; 0; 0; 2.92912e-05; -0.0220075; 9.8123; 0.8028; 0.81; 0.0155442; 0; 0; 0.0162085; 3.27017e-05; -0.00253895;  0; 0; 0;
0.16; 2.9; -0; 0; 0; 0; 0; 4.90925e-05; -0.0217829; 9.81143; 0.9036; 0.8892; 0.0178246; 0; 0; 0.0180175; 2.81087e-05; 0.00507789;  0; 0; 0;
0.176; 2.9; -0; 0; 0; 0; 0; -8.34056e-06; -0.0210432; 9.80906; 1.0116; 1.008; 0.0200994; 0; 0; 0.0202968; 3.96829e-05; 0.00126947;  0; 0; 0;
0.192; 2.9; -0; 0; 0; 0; 0; 1.65549e-05; -0.0198954; 9.81052; 1.098; 1.1016; 0.022369; 0; 0; 0.0221058; 4.19794e-05; -0.00126947;  0; 0; 0;
0.208; 2.9; -0; 0; 0; 0; 0; 1.31769e-05; -0.018295; 9.81042; 1.206; 1.1916; 0.0246337; 0; 0; 0.0240957; 3.94533e-05; 0.00507789;  0; 0; 0;
0.224; 2.9; -0; 0; 0; 0; 0; 1.02126e-05; -0.016288; 9.81033; 1.3068; 1.2996; 0.026894; 0; 0; 0.0261941; 5.01089e-05; 0.00253895;  0; 0; 0;
0.24; 2.9; -0; 0; 0; 0; 0; 7.64343e-06; -0.0139065; 9.81027; 1.3968; 1.3968; 0.0291504; 0; 0; 0.0280755; 5.48856e-05; 3.90313e-18;  0; 0; 0;
0.256; 2.9; -0; 0; 0; 0; 0; 4.14274e-06; -0.0112029; 9.81022; 1.5192; 1.5084; 0.0314036; 0; 0; 0.0304272; 5.48856e-05; 0.00380842;  0; 0; 0;
0.272; 2.9; -0; 0; 0; 0; 0; -1.98523e-06; -0.00821345; 9.81018; 1.6128; 1.6236; 0.0336543; 0; 0; 0.0325256; 6.28773e-05; -0.00380842;  0; 0; 0;
